Epoch,Train Loss,Val Loss
1,0.982836443811655,0.7650538505077362
2,0.6493803765356541,0.6212600926876068
3,0.6128906911611557,0.6563193689346314
4,0.5996906974732876,0.5887975855827332
5,0.5883062617480754,0.5831187537670135
6,0.578641769772768,0.6207740129947662
7,0.5711193022370339,0.5674553614616394
8,0.5635754811346531,0.5614772001266479
9,0.5569186722874642,0.5396773190021514
10,0.5462320000946522,0.543286432647705
11,0.5368666267991066,0.5397771575927734
12,0.5161721336275339,0.5351925392627717
13,0.4885212635576725,0.5332318298816681
14,0.4705589558005333,0.4586731695175171
15,0.45519288486540316,0.5218339848518372
16,0.4420125042229891,0.41842651419639587
17,0.43383969623148444,0.4179652996063232
18,0.4259673932015896,0.41402630684375763
19,0.42105113494694235,0.41034111421108244
20,0.41719206112921237,0.41092426354885103
21,0.413072642031312,0.4078434808254242
22,0.4104453944504261,0.40686831114292143
23,0.406521272778511,0.39320962181091307
24,0.40566680616140366,0.4142043361902237
25,0.4035308565020561,0.41427133412361145
26,0.40277199262082575,0.4006804790973663
27,0.4011618482545018,0.4000317484378815
28,0.39747453424036505,0.39059165341854096
29,0.39400492850244045,0.3954856174468994
30,0.39665830718576905,0.38405327873229983
31,0.392525355091691,0.38697149000167846
32,0.38910512470602987,0.4258907820224762
33,0.39012455720603467,0.38733942613601685
34,0.39230361885130405,0.3942408828496933
35,0.389882311424613,0.37273542449474334
36,0.38448906954824924,0.3852892523288727
37,0.3851841333344579,0.3840377947330475
38,0.38687725068330764,0.3790614752531052
39,0.38197753541171553,0.4431679105043411
40,0.384283215868473,0.3948934200048447
41,0.3824646233409643,0.3979947741508484
42,0.38489980850070715,0.37242022626399995
43,0.3811624235421419,0.38072046446800234
44,0.3804396251171827,0.37818663418292997
45,0.3797602525815368,0.38138106966018676
46,0.3811560364574194,0.38546942248344424
47,0.3804216539174318,0.3762970818042755
48,0.3815378355950117,0.37685054445266725
49,0.3770861203357577,0.3743638084888458
50,0.37829170572459697,0.3653024780035019
51,0.3790441940277815,0.36776275379657747
52,0.3747921811401844,0.3666014051914215
53,0.3755570047646761,0.3730274282693863
54,0.374901537451148,0.38955112409591675
55,0.376882670468092,0.3613916926622391
56,0.37447614413797853,0.3785907958984375
57,0.3754475801199675,0.3617515259027481
58,0.374587592497468,0.41526580386161804
59,0.37309750716686246,0.36643806381225585
60,0.3703368603333831,0.3694672747850418
